#: table_doi: 10.17182/hepdata.1698.v1/t6
#: name: Table 6
#: description: Correlation function binned in intervals of chi. Note the function is still given as dsigma/dcos(chi).

#: data_file: Table6.yaml
#: keyword reactions: E+ E- --> HADRONS
#: keyword observables: CORR | DSIGMA/DCOSCHI
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | E+ E- Scattering
#: keyword cmenergies: 22.0
#: RE,,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,22.0
#: SQRT(S),,,22.0
THETA [DEGREES],THETA [DEGREES] LOW,THETA [DEGREES] HIGH,D(SIGMA)/D(COS(CHI)),error +,error -
1.8,0.0,3.6,61.07,1.201,-1.201
5.4,3.6,7.2,3.025,0.153,-0.153
9.0,7.2,10.8,2.706,0.036,-0.036
12.600000000000001,10.8,14.4,2.201,0.068,-0.068
16.2,14.4,18.0,1.671,0.047,-0.047
19.8,18.0,21.6,1.342,0.02,-0.02
23.4,21.6,25.2,0.976,0.027,-0.027
27.0,25.2,28.8,0.797,0.021,-0.021
30.6,28.8,32.4,0.606,0.017,-0.017
34.2,32.4,36.0,0.532,0.015,-0.015
37.8,36.0,39.6,0.391,0.012,-0.012
41.400000000000006,39.6,43.2,0.356,0.01,-0.01
45.0,43.2,46.8,0.298,0.002,-0.002
48.599999999999994,46.8,50.4,0.257,0.009,-0.009
52.2,50.4,54.0,0.235,0.008,-0.008
55.8,54.0,57.6,0.187,0.006,-0.006
59.400000000000006,57.6,61.2,0.178,0.006,-0.006
63.0,61.2,64.8,0.18,0.007,-0.007
66.6,64.8,68.4,0.159,0.006,-0.006
70.2,68.4,72.0,0.153,0.006,-0.006
73.8,72.0,75.6,0.148,0.006,-0.006
77.4,75.6,79.2,0.151,0.006,-0.006
81.0,79.2,82.8,0.132,0.006,-0.006
84.6,82.8,86.4,0.121,0.005,-0.005
88.2,86.4,90.0,0.141,0.006,-0.006
91.8,90.0,93.6,0.132,0.005,-0.005
95.4,93.6,97.2,0.13,0.005,-0.005
99.0,97.2,100.8,0.14,0.005,-0.005
102.6,100.8,104.4,0.143,0.006,-0.006
106.2,104.4,108.0,0.151,0.006,-0.006
109.8,108.0,111.6,0.156,0.006,-0.006
113.4,111.6,115.2,0.177,0.007,-0.007
117.0,115.2,118.8,0.208,0.008,-0.008
120.6,118.8,122.4,0.198,0.008,-0.008
124.2,122.4,126.0,0.268,0.01,-0.01
127.8,126.0,129.6,0.277,0.009,-0.009
131.39999999999998,129.6,133.2,0.326,0.011,-0.011
135.0,133.2,136.8,0.353,0.012,-0.012
138.60000000000002,136.8,140.4,0.413,0.013,-0.013
142.2,140.4,144.0,0.477,0.014,-0.014
145.8,144.0,147.6,0.716,0.02,-0.02
149.39999999999998,147.6,151.2,0.755,0.02,-0.02
153.0,151.2,154.8,1.004,0.028,-0.028
156.60000000000002,154.8,158.4,1.294,0.033,-0.033
160.2,158.4,162.0,1.747,0.047,-0.047
163.8,162.0,165.6,2.291,0.064,-0.064
167.39999999999998,165.6,169.2,3.23,0.097,-0.097
171.0,169.2,172.8,4.536,0.155,-0.155
174.60000000000002,172.8,176.4,5.893,0.276,-0.276
178.2,176.4,180.0,8.406,0.712,-0.712

