mu,Gammaq,Gammag
5.0,0.7950645781572552,0.8736476963091812
10.0,0.8161454086830952,0.8947610245140971
15.0,0.8260745852388492,0.9038163158576462
20.0,0.8323151153997663,0.9092367161022443
25.0,0.8367683458886883,0.9129818881647642
30.0,0.8401844913338762,0.9157874153108683
35.0,0.8429307300277735,0.9180011811753773
40.0,0.8452121157749771,0.9198124922470707
45.0,0.8471539427200695,0.9213346490399216
50.0,0.8488379565861734,0.9226403143796617
55.0,0.8503202254608941,0.9237786045709131
60.0,0.8516407529519531,0.9247841227328085
65.0,0.8528290072764464,0.925682076631596
70.0,0.8539072766012508,0.9264913438451008
75.0,0.8548927968112945,0.9272263930117512
80.0,0.8557991513822963,0.9278985347210851
85.0,0.8566372215701754,0.9285167626157311
90.0,0.8574158489220816,0.9290883348299926
95.0,0.8581423081172199,0.9296191857146096
100.0,0.8588226514235967,0.9301142236014407
