z,fz,Q,theta,delta fz,f,delta f,pred,predz,cost
1.220165e-06,2.604179,22.0,0.0022092220316210737,0.2604179,0.0028766024705870813,0.00028766024705870815,0.002802124140723082,2.5367540066023837,0.06703477566062988
1.39126e-06,2.578096,22.0,0.002359034247470928,0.2578096,0.003040905558170588,0.0003040905558170588,0.0029921120115477483,2.5367285701447186,0.025746542042725567
1.586345e-06,2.563829,22.0,0.0025190044373579615,0.2563829,0.003229144898783936,0.0003229144898783936,0.003194975355191612,2.536699568052937,0.011197041540157293
1.80879e-06,2.602354,22.0,0.0026898260840260277,0.2602354,0.003499935614096268,0.0003499935614096268,0.0034115917448050395,2.5366664997215502,0.06371368487450609
2.062425e-06,2.614224,22.0,0.0028722300867943832,0.2614224,0.003754321251197459,0.0003754321251197459,0.0036428857650838684,2.5366287962978933,0.08810167398502729
2.35162e-06,2.59679,22.0,0.0030669997348430574,0.259679,0.0039821708776746866,0.00039821708776746867,0.0038898479032417345,2.5365858088333613,0.05375016380029601
2.68137e-06,2.583825,22.0,0.003274979326081065,0.2583825,0.004230979165375744,0.0004230979165375744,0.0041535453580789665,2.536536795705374,0.03349495920902207
3.05736e-06,2.58823,22.0,0.003497063405673159,0.25882299999999997,0.004525592984965513,0.0004525592984965513,0.004435108250235386,2.536480913029833,0.03997602886091421
3.48607e-06,2.59553,22.0,0.003734206234746547,0.25955300000000003,0.004846110891616579,0.0004846110891616579,0.004735741453378532,2.53641719915065,0.05186936947528042
3.974895e-06,2.577259,22.0,0.003987430383888167,0.2577259,0.005138306805677965,0.0005138306805677965,0.005056735275118912,2.536344556930002,0.025202124810948495
4.532265e-06,2.569213,22.0,0.0042578266038823245,0.2569213,0.0054696152046632,0.00054696152046632,0.0053994650325431045,2.5362617360775346,0.016449167900452796
5.167795e-06,2.575123,22.0,0.00454656085499467,0.2575123,0.005853956546183261,0.0005853956546183262,0.005765399646100047,2.536167311071685,0.02288473157636324
5.89244e-06,2.579362,22.0,0.004854874488034057,0.2579362,0.0062612147885979935,0.0006261214788597994,0.00615610148477065,2.5360596584032162,0.028183710464213543
6.718695e-06,2.581548,22.0,0.005184094924681351,0.2581548,0.006691464970208056,0.0006691464970208056,0.006573239434298534,2.5359369272177323,0.031216209383456116
7.66081e-06,2.57608,22.0,0.005535640726321139,0.257608,0.0071300902660629654,0.0007130090266062966,0.007018594749509908,2.5357970078408285,0.024452583570670268
8.735025e-06,2.566587,22.0,0.005911023746748586,0.2566587,0.007585534179018961,0.0007585534179018962,0.007494063089503748,2.5356374974751903,0.01454103651186206
9.95986e-06,2.582032,22.0,0.006311859651945859,0.2582032,0.008148657693658874,0.0008148657693658874,0.008001667002500846,2.535455657915157,0.03253924823067852
1.135645e-05,2.596098,22.0,0.006739879224411135,0.2596098,0.008748627251200587,0.0008748627251200587,0.008543569214470638,2.5352483668229224,0.054938116222766425
1.29489e-05,2.595757,22.0,0.007196931538287445,0.2595757,0.009340662074480468,0.0009340662074480469,0.009122075397085446,2.5350120663506974,0.05476360840893173
1.476465e-05,2.577569,22.0,0.007684978247343092,0.2577569,0.009904183358994208,0.0009904183358994208,0.009739625427854563,2.534742710680094,0.027605797212241556
1.6835e-05,2.591556,22.0,0.00820611832067986,0.25915560000000004,0.010633188243910558,0.0010633188243910558,0.010398822864532765,2.534435690344368,0.048580268488194134
1.919565e-05,2.57904,22.0,0.008762596150824118,0.257904,0.01129939838665904,0.001129939838665904,0.011102442960131863,2.5340857550173306,0.030382622672199665
2.18873e-05,2.58928,22.0,0.00935680708073451,0.258928,0.012113519961076822,0.0012113519961076823,0.011853436932646289,2.533686928290169,0.04609813000728142
2.49564e-05,2.588466,22.0,0.009991317752941625,0.2588466,0.012930878006271618,0.0012930878006271618,0.01265495437978112,2.533232401367258,0.04553252658238123
2.845585e-05,2.582582,22.0,0.010668855592966611,0.2582582,0.013776335856650078,0.0013776335856650079,0.013510325981731805,2.5327144356538125,0.0372844785821908
3.2446e-05,2.57766,22.0,0.011392339693038855,0.257766,0.014682471566687071,0.0014682471566687073,0.014423097656412422,2.5321242228304746,0.031207159589732095
3.699565e-05,2.582663,22.0,0.012164884912735352,0.2582663,0.015708511639157187,0.0015708511639157187,0.015397029824862296,2.5314517474363263,0.03931835278141151
4.21833e-05,2.586059,22.0,0.012989825735080921,0.2586059,0.01679575552578252,0.0016795755525782522,0.01643612033364294,2.5306856156993285,0.04584851534866911
4.80984e-05,2.588317,22.0,0.013870713200377851,0.2588317,0.017950325779216094,0.0017950325779216094,0.017544591914166578,2.529812888525917,0.05109022864486188
5.484285e-05,2.584962,22.0,0.014811327099046718,0.2584962,0.01914265893761249,0.001914265893761249,0.018726897103257045,2.5288188828728675,0.047172046350908416
6.253305e-05,2.585243,22.0,0.015815733116644838,0.25852430000000004,0.020442904384092405,0.0020442904384092406,0.019987777392176383,2.5276868989756496,0.04956555696356434
7.13016e-05,2.579383,22.0,0.016888255647502633,0.2579383,0.02177960441892552,0.002177960441892552,0.021332213642443056,2.5263980081232464,0.042196271478236715
8.12997e-05,2.578624,22.0,0.018033513613187814,0.2578624,0.023249565299893336,0.0023249565299893337,0.022765452551431486,2.5249307487160535,0.043357413290030455
9.26998e-05,2.580116,22.0,0.019256444589721075,0.2580116,0.024840395147564052,0.0024840395147564054,0.024293014477682364,2.5232608003921566,0.04855812550924978
0.0001056987,2.581243,22.0,0.02056233685957577,0.25812430000000003,0.02653632397978127,0.0026536323979781274,0.025920706437409177,2.5213606111229305,0.05381959830589521
0.00012052,2.580046,22.0,0.02195676132778978,0.2580046,0.028322451284378505,0.002832245128437851,0.027654504999261517,2.519199143072702,0.0556187726103525
0.0001374195,2.579528,22.0,0.023445749735738663,0.2579528,0.030236713581558047,0.003023671358155805,0.029500739426742188,2.5167412181461097,0.05924557991596481
0.000156689,2.576901,22.0,0.025035749199750143,0.2576901,0.032253953925374945,0.0032253953925374945,0.03146598769002477,2.5139471375204403,0.05968281432339622
0.00017866,2.579774,22.0,0.026733547524596408,0.2579774,0.03447914813240373,0.003447914813240373,0.03355692872398938,2.5107723633300147,0.07154107490528516
0.000203712,2.579317,22.0,0.028546511826334074,0.25793170000000004,0.03681025168067406,0.0036810251680674064,0.03578057037746143,2.507166597090561,0.07824706929863492
0.0002322775,2.578118,22.0,0.03048248588991653,0.2578118,0.039287637891842093,0.003928763789184209,0.038144042294784956,2.5030734172330127,0.08472920131064147
0.000264848,2.572651,22.0,0.03254973946383818,0.2572651,0.04186216691680046,0.004186216691680046,0.040654440937523545,2.498429867240965,0.08323258958396385
0.0003019855,2.574321,22.0,0.03475720951462861,0.2574321,0.044729099974967254,0.004472909997496726,0.043319012511030534,2.4931653815708206,0.09938292719488831
0.0003443305,2.572968,22.0,0.03711441921538254,0.2572968,0.04773614546322652,0.004773614546322653,0.04614492151030308,2.4872013702904554,0.11111377914721073
0.0003926135,2.573007,22.0,0.03963154766337388,0.2573007,0.050972778853347125,0.0050972778853347125,0.049139180183297985,2.4804504959333724,0.12939930678300032
0.000447667,2.57077,22.0,0.042319443184815786,0.257077,0.054380542080769916,0.005438054208076992,0.052308483771921786,2.472816115488776,0.14518337238313764
0.00051044,2.569904,22.0,0.04518968348266161,0.2569904,0.05804681315718967,0.005804681315718967,0.055659072387185204,2.4641916581496273,0.1692067122514634
0.0005820155,2.568532,22.0,0.048254676419042325,0.2568532,0.061947792685064444,0.006194779268506445,0.05919660547042899,2.4544599387934385,0.1972371037035218
0.0006636275,2.567051,22.0,0.051527637340215614,0.2567051,0.06610777365359582,0.006610777365359583,0.06292585514121458,2.4434929576141258,0.23167173109847086
0.000756683,2.563672,22.0,0.05502268381123486,0.2563672,0.07049447407155762,0.007049447407155763,0.06685049691173546,2.4311515104678314,0.26720288490082433
0.000862787,2.561007,22.0,0.05875492313143915,0.2561007,0.07519260470286604,0.007519260470286605,0.07097284565276954,2.4172849875984457,0.3149379876157583
0.0009837675,2.554414,22.0,0.06274042616576211,0.2554414,0.08007995007814828,0.008007995007814827,0.07529342006697691,2.401731845977371,0.3572678899698489
0.001121715,2.544145,22.0,0.06699655710384739,0.2544145,0.08516073663273764,0.008516073663273765,0.07981084493393406,2.3843189962073046,0.39464914118223077
0.001279005,2.53056,22.0,0.07154161465499748,0.253056,0.0904429771832567,0.00904429771832567,0.08452096148941111,2.3648642599774994,0.4287354632786373
0.00145835,2.515241,22.0,0.07639527420340185,0.25152410000000003,0.09598283622034079,0.00959828362203408,0.08941675371341991,2.343176070673706,0.4679780823851811
0.001662845,2.500244,22.0,0.08157861246109428,0.2500244,0.10187013822525101,0.010187013822525102,0.094487767713821,2.3190552051427002,0.5251675524006038
0.001896015,2.489404,22.0,0.08711405177490884,0.2489404,0.10829394188061564,0.010829394188061565,0.09971942329572162,2.2922974906918343,0.6269186179392285
0.00216188,2.480846,22.0,0.0930255815816471,0.24808460000000002,0.11522471522882059,0.01152247152288206,0.10509256982796111,2.2626958198131937,0.7732350644005358
0.002465025,2.466905,22.0,0.09933887691053876,0.24669050000000003,0.12232836048998302,0.012232836048998302,0.11058290775002312,2.2300431964459224,0.9219029681536283
0.00281068,2.446788,22.0,0.10608142649692881,0.24467880000000003,0.12953611055939176,0.012953611055939177,0.11616040980419257,2.1941364115118085,1.0662311896310772
0.0032048,2.420964,22.0,0.11328246898391006,0.24209640000000002,0.13683328913663448,0.013683328913663449,0.1217886125739662,2.154781548495133,1.208877176206493
