z,fz,Q,theta,delta fz,f,delta f,f raw,delta f raw,pred,predz,predNNLL,predzNNLL,predNLO,predzNLO,predimprvnlo,predzimprvnlo,cost
1.220165e-06,13.93434,59.5,0.0022092220316210737,0.696717,0.015392012941506862,0.0007696006470753431,0.015392012941506862,0.0007696006470753431,0.01223006676019973,11.071840252925215,341.3685235122242,309039.8305922712,20.62037894934766,18667.56299523509,0.015502936955309547,14.034759154295486,0.020774008455040342
2.35162e-06,13.95346,59.5,0.0030669997348430574,0.697673,0.021397595513999453,0.0010698797756999727,0.021397595513999453,0.0010698797756999727,0.016974404869799373,11.069079197220535,197.58412478342535,128845.42003781542,14.58203214002453,9509.00310511178,0.021516595753429856,14.03106054534147,0.012371595571499612
4.532265e-06,13.87513,59.5,0.0042578266038823245,0.6937565,0.029538859570879684,0.0014769429785439843,0.029538859570879684,0.0014769429785439843,0.023553717641463204,11.063761397910417,114.28004385462421,53680.15177037487,10.308350376945848,4842.086107707277,0.029855655568477156,14.023936884016535,0.04600784750950354
8.735025e-06,13.835910000000002,59.5,0.005911023746748586,0.6917955000000002,0.040891958154089546,0.0020445979077044775,0.040891958154089546,0.0020445979077044775,0.032668635947467724,11.053525612265753,66.12854564111535,22374.780940390396,7.284561898633584,2464.7521754554,0.04140714969645062,14.010226519302126,0.06349238274007302
1.919565e-05,13.85797,59.5,0.008762596150824118,0.6928985,0.060715120300720175,0.003035756015036009,0.060715120300720175,0.003035756015036009,0.04831688083463528,11.02812416056447,34.39032718598743,7849.447058214019,4.800039225033812,1095.588697673268,0.061233137798691384,13.97620530795631,0.02911757021504947
3.699565e-05,13.845479999999998,59.5,0.012164884912735352,0.692274,0.08421225832782599,0.0042106129163912995,0.08421225832782599,0.0042106129163912995,0.0668148702225885,10.985145960202473,20.02734436584031,3292.7296022737255,3.3891547805054207,557.2166767897625,0.08465735210372999,13.918658621435533,0.01117409619481954
7.13016e-05,13.81582,59.5,0.016888255647502633,0.690791,0.11665700453289783,0.005832850226644892,0.11665700453289783,0.005832850226644892,0.09206342998698931,10.903175359042894,11.730812369107671,1389.293277281609,2.3919779905800738,283.28463853618445,0.11659894433586644,13.808943865690173,9.908213605311297e-05
0.000156689,13.695210000000001,59.5,0.025035749199750143,0.6847605000000001,0.1714170130471967,0.008570850652359836,0.1714170130471967,0.008570850652359836,0.13397663981740482,10.703944636396914,6.238715549856623,498.4366374534094,1.5736284425771974,125.72364667872213,0.16950613922316368,13.542542433120685,0.049706841463988516
0.0003019855,13.416849999999998,59.5,0.03475720951462861,0.6708425,0.23311918948691304,0.011655959474345653,0.23311918948691304,0.011655959474345653,0.18035133263270306,10.379869553248096,3.7263913439158025,214.4672594849746,1.109503768002113,63.85594280111732,0.2277872267394653,13.109976316432606,0.20925611371206973
0.0005820155,12.794600000000003,59.5,0.048254676419042325,0.6397300000000001,0.30857985350711054,0.015428992675355527,0.30857985350711054,0.015428992675355527,0.23644115927006648,9.80352418349659,2.251634249374234,93.35917183063846,0.781850133651975,32.41773436059089,0.29769142818973765,12.343134860645243,0.49802943046248843
0.001121715,11.44121,59.5,0.06699655710384739,0.5720605,0.38297419037430813,0.019148709518715407,0.38297419037430813,0.019148709518715407,0.29602882840557043,8.843749988822509,1.3777975255003523,41.16118324141613,0.5506186634355215,16.449525625024318,0.3706595603999866,11.073315057860945,0.41358398321137746
0.002465025,8.718522,59.5,0.09933887691053876,0.4359261000000001,0.43233221472081323,0.021616610736040664,0.43233221472081323,0.021616610736040664,0.3504924521522638,7.068120419610151,0.7774467234848165,15.678189437970596,0.36114318169785964,7.282905755279137,0.4338679745961259,8.749492526376985,0.005047443069668379
0.004750835,5.979333,59.5,0.13796198895314798,0.29896665,0.41115315326378454,0.02055765766318923,0.41115315326378454,0.02055765766318923,0.3572931635987478,5.1960559874625405,0.4893073131346859,7.115916152758999,0.2538202824755963,3.691266816338765,0.4359339239627685,6.339715691533936,1.4530560225645963
0.00915626,3.5120980000000004,59.5,0.191669955662513,0.1756049,0.3345247608470381,0.016726238042351904,0.3345247608470381,0.016726238042351904,0.31843265024036144,3.343150657105612,0.311434500513413,3.269678703646971,0.1780999938084072,1.8698305933190162,0.3813479249264802,4.0036835570771165,7.836551088575782
0.0201213,1.550688,59.5,0.28465925478455767,0.07753440000000002,0.21774019268827755,0.010887009634413879,0.21774019268827755,0.010887009634413879,0.23276415168535594,1.657684657996968,0.18320958823543235,1.3047701779540184,0.1159922347087597,0.8260659836632022,0.27181531058031316,1.9357966718464144,24.670487724735512
1.220165e-06,28.60036,91.2,0.0022092220316210737,1.430018,0.03159224701361924,0.0015796123506809621,0.03159224701361924,0.0015796123506809621,0.02664981612231182,24.12599314962764,205.4651486729202,186006.94078410335,18.310656184651478,16576.578376697875,0.0333191097959734,30.16368334400396,1.1951285404192176
2.35162e-06,28.51048,91.2,0.0030669997348430574,1.4255240000000002,0.04372074875693707,0.002186037437846854,0.04372074875693707,0.002186037437846854,0.036976075893816775,24.112251098670324,120.93885438357735,78864.72412206355,12.956468257072274,8448.966214360244,0.04622817906426953,30.145585611434736,1.3156566070646358
4.532265e-06,28.5378,91.2,0.0042578266038823245,1.42689,0.060754318457690144,0.0030377159228845074,0.060754318457690144,0.0030377159228845074,0.0512764402740754,24.085807139332424,71.27769835841178,33480.8907720569,9.164922850805635,4304.990031512979,0.06410300483025022,30.11076048065121,1.2152192327036777
8.735025e-06,28.46234,91.2,0.005911023746748586,1.4231170000000002,0.08412029394867912,0.004206014697433956,0.08412029394867912,0.004206014697433956,0.07103529473050957,24.03499340900388,42.115622055401566,14249.940150989694,6.480737525180805,2192.77591926854,0.0887944456705897,30.043852489741994,1.23499170010299
1.919565e-05,28.465459999999997,91.2,0.008762596150824118,1.423273,0.12471406911079604,0.0062357034555398025,0.12471406911079604,0.0062357034555398025,0.10475277762372677,23.909379451712258,22.5189353684477,5139.851971341405,4.273835854143667,975.4849987663581,0.13090489696939156,29.878490334365708,0.9856586759259153
3.699565e-05,28.54725,91.2,0.012164884912735352,1.4273625,0.17363272284883083,0.008681636142441542,0.17363272284883083,0.008681636142441542,0.14414068243665784,23.69841369286335,13.44846896912251,2211.08555737521,3.0197474686676222,496.4817950817629,0.18004143826542454,29.600917754410762,0.5449276107128483
7.13016e-05,28.2854,91.2,0.016888255647502633,1.4142700000000001,0.23883417965888584,0.011941708982944292,0.23883417965888584,0.011941708982944292,0.19675085324943375,23.30142441274519,8.09032525125216,958.1463012898954,2.13282368140637,252.59270278740962,0.24553550145360065,29.07904506270815,0.3149111076938303
0.000156689,27.83695,91.2,0.025035749199750143,1.3918475000000003,0.34842304874070296,0.01742115243703515,0.34842304874070296,0.01742115243703515,0.2799325581691695,22.364963090964835,4.448059203451531,355.37373916863766,1.40442858937261,112.20557469500376,0.3485925829116827,27.850494782005416,9.470234478180759e-05
0.0003019855,26.12672,91.2,0.03475720951462861,1.306336,0.4539545266103087,0.022697726330515436,0.4539545266103087,0.022697726330515436,0.363531056351716,20.92252321290064,2.732032733355315,157.23833571657138,0.9910026700122846,57.03577728808441,0.4511465541412451,25.965111058649114,0.01530456464395201
0.0005820155,22.67583,91.2,0.048254676419042325,1.1337915000000003,0.5468951197811688,0.02734475598905844,0.5468951197811688,0.02734475598905844,0.44808530187273493,18.578893398848507,1.6964505407225103,70.33967331839465,0.6989292369522128,28.979597706960224,0.5527964165683203,22.920514580068186,0.04657435066537754
0.001121715,17.58516,91.2,0.06699655710384739,0.879258,0.5886320077686423,0.02943160038843212,0.5886320077686423,0.02943160038843212,0.5089461630298309,15.204575337641772,1.0652986445245836,31.825396622181266,0.4926521022045801,14.717796394464788,0.621953078874306,18.58061447585442,1.2817701408373379
0.002465025,10.886750000000001,91.2,0.09933887691053876,0.5443375,0.5398498436560478,0.02699249218280239,0.5398498436560478,0.02699249218280239,0.5095323162802183,10.275358990004449,0.6184090483512508,12.470995011396921,0.32347986294071374,6.52337763778912,0.6121925998484193,12.345632521190629,7.182971336287255
0.004750835,6.267077,91.2,0.13796198895314798,0.31335385,0.43093911483052355,0.02154695574152618,0.43093911483052355,0.02154695574152618,0.43925608386301634,6.388029319108341,0.39744547991336115,5.779984550482401,0.227569054597393,3.30949950676895,0.518201266426593,7.536116185392378,16.401365048508335
0.00915626,3.2317430000000003,91.2,0.191669955662513,0.16158715,0.30782115254018805,0.015391057627009402,0.30782115254018805,0.015391057627009402,0.3320935225383463,3.4865729919860673,0.25764586509377846,2.704964275926605,0.15984158055880238,1.6781397406157934,0.38407321862271926,4.032295784512055,24.545184595646674
0.0201213,1.32474,91.2,0.28465925478455767,0.066237,0.18601365514008542,0.009300682757004271,0.18601365514008542,0.009300682757004271,0.20874532714329266,1.486628949211016,0.15443013582254814,1.0998105379709624,0.10423412295285255,0.742327825000657,0.23623243947208855,1.6823848852955283,29.154307405164342
1.220165e-06,251.20069999999998,300.0,0.0022092220316210737,12.560035000000001,0.2774788346857894,0.01387394173428947,0.2774788346857894,0.01387394173428947,0.2386641157167997,216.06185927957355,68.9183569316487,62391.56771608941,13.80396791443024,12496.687925077269,0.28918357815860724,261.79696676399203,0.7117444138651807
