theta,Q,dEEC
0.0,20.0,0.42169197475212555
0.0,40.0,0.3900096949154554
0.0,60.0,0.37415468992973994
0.0,80.0,0.3638775899970248
0.0,100.0,0.3563951047070903
0.00404040404040404,20.0,0.4204991578413614
0.00404040404040404,40.0,0.3856258481606013
0.00404040404040404,60.0,0.36477293833469426
0.00404040404040404,80.0,0.34783863307238955
0.00404040404040404,100.0,0.3321925111653237
0.00808080808080808,20.0,0.4169426219431348
0.00808080808080808,40.0,0.37279267710897623
0.00808080808080808,60.0,0.33813219821679225
0.00808080808080808,80.0,0.30417832858653415
0.00808080808080808,100.0,0.2697568519584822
0.012121212121212121,20.0,0.4110874234902811
0.012121212121212121,40.0,0.35242601957980185
0.012121212121212121,60.0,0.29834049041474286
0.012121212121212121,80.0,0.2442146658899829
0.012121212121212121,100.0,0.19264504492783285
0.01616161616161616,20.0,0.4030397268614382
0.01616161616161616,40.0,0.32592818033351695
0.01616161616161616,60.0,0.25104481342744445
0.01616161616161616,80.0,0.18126773166939716
0.01616161616161616,100.0,0.12334411119133241
0.0202020202020202,20.0,0.3929435150575437
0.0202020202020202,40.0,0.29502410639907073
0.0202020202020202,60.0,0.20209132001790894
0.0202020202020202,80.0,0.1258543973047088
0.0202020202020202,100.0,0.07327719250664069
0.024242424242424242,20.0,0.3809761888449689
0.024242424242424242,40.0,0.26157161559819486
0.024242424242424242,60.0,0.15634988453009843
0.024242424242424242,80.0,0.08325269865103338
0.024242424242424242,100.0,0.04257155983903995
0.028282828282828285,20.0,0.3673432445700592
0.028282828282828285,40.0,0.22737486851817496
0.028282828282828285,60.0,0.11701664823937434
0.028282828282828285,80.0,0.053860358348441446
0.028282828282828285,100.0,0.025705693629349467
0.03232323232323232,20.0,0.3522722563034211
0.03232323232323232,40.0,0.19402686071773692
0.03232323232323232,60.0,0.08548366827785217
0.03232323232323232,80.0,0.03517513404489108
0.03232323232323232,100.0,0.016816227606631446
0.03636363636363636,20.0,0.3360064110792882
0.03636363636363636,40.0,0.1627988544422507
0.03636363636363636,60.0,0.0616576130663679
0.03636363636363636,80.0,0.02387511108836559
0.03636363636363636,100.0,0.011950526334034555
0.0404040404040404,20.0,0.3187978558496031
0.0404040404040404,40.0,0.13458454603939377
0.0404040404040404,60.0,0.04450125255585167
0.0404040404040404,80.0,0.017112970202786657
0.0404040404040404,100.0,0.009029147255641573
0.044444444444444446,20.0,0.30090111133039926
0.044444444444444446,40.0,0.10989678876906223
0.044444444444444446,60.0,0.03257745435886999
0.044444444444444446,80.0,0.01294125144694655
0.044444444444444446,100.0,0.00709924447877435
0.048484848484848485,20.0,0.28256679196828033
0.048484848484848485,40.0,0.08890686799929294
0.048484848484848485,60.0,0.024455761171119465
0.048484848484848485,80.0,0.010211053783158118
0.048484848484848485,100.0,0.005734902224695725
0.052525252525252523,20.0,0.26403584432690475
0.052525252525252523,40.0,0.07151182823936567
0.052525252525252523,60.0,0.018938427304224285
0.052525252525252523,80.0,0.008304479185630874
0.052525252525252523,100.0,0.004728542053519595
0.05656565656565657,20.0,0.24553448041559958
0.05656565656565657,40.0,0.05741438301013428
0.05656565656565657,60.0,0.015133277299120326
0.05656565656565657,80.0,0.006900420865238804
0.05656565656565657,100.0,0.003964479668267839
0.06060606060606061,20.0,0.22726994040203266
