# z  EEC
1.220165e-06  2.604179e+00
1.391260e-06  2.578096e+00
1.586345e-06  2.563829e+00
1.808790e-06  2.602354e+00
2.062425e-06  2.614224e+00
2.351620e-06  2.596790e+00
2.681370e-06  2.583825e+00
3.057360e-06  2.588230e+00
3.486070e-06  2.595530e+00
3.974895e-06  2.577259e+00
4.532265e-06  2.569213e+00
5.167795e-06  2.575123e+00
5.892440e-06  2.579362e+00
6.718695e-06  2.581548e+00
7.660810e-06  2.576080e+00
8.735025e-06  2.566587e+00
9.959860e-06  2.582032e+00
1.135645e-05  2.596098e+00
1.294890e-05  2.595757e+00
1.476465e-05  2.577569e+00
1.683500e-05  2.591556e+00
1.919565e-05  2.579040e+00
2.188730e-05  2.589280e+00
2.495640e-05  2.588466e+00
2.845585e-05  2.582582e+00
3.244600e-05  2.577660e+00
3.699565e-05  2.582663e+00
4.218330e-05  2.586059e+00
4.809840e-05  2.588317e+00
5.484285e-05  2.584962e+00
6.253305e-05  2.585243e+00
7.130160e-05  2.579383e+00
8.129970e-05  2.578624e+00
9.269980e-05  2.580116e+00
1.056987e-04  2.581243e+00
1.205200e-04  2.580046e+00
1.374195e-04  2.579528e+00
1.566890e-04  2.576901e+00
1.786600e-04  2.579774e+00
2.037120e-04  2.579317e+00
2.322775e-04  2.578118e+00
2.648480e-04  2.572651e+00
3.019855e-04  2.574321e+00
3.443305e-04  2.572968e+00
3.926135e-04  2.573007e+00
4.476670e-04  2.570770e+00
5.104400e-04  2.569904e+00
5.820155e-04  2.568532e+00
6.636275e-04  2.567051e+00
7.566830e-04  2.563672e+00
8.627870e-04  2.561007e+00
9.837675e-04  2.554414e+00
1.121715e-03  2.544145e+00
1.279005e-03  2.530560e+00
1.458350e-03  2.515241e+00
1.662845e-03  2.500244e+00
1.896015e-03  2.489404e+00
2.161880e-03  2.480846e+00
2.465025e-03  2.466905e+00
2.810680e-03  2.446788e+00
3.204800e-03  2.420964e+00
3.654185e-03  2.388782e+00
4.166585e-03  2.350678e+00
4.750835e-03  2.308246e+00
5.417010e-03  2.261828e+00
6.176595e-03  2.211670e+00
7.042695e-03  2.155960e+00
8.030240e-03  2.094000e+00
9.156260e-03  2.024388e+00
1.044018e-02  1.946731e+00
1.190415e-02  1.862006e+00
1.357340e-02  1.771443e+00
