# z  EEC
1.220165e-06  8.995591e+02
1.391260e-06  8.959842e+02
1.586345e-06  8.921676e+02
1.808790e-06  8.901878e+02
2.062425e-06  8.860772e+02
2.351620e-06  8.807122e+02
2.681370e-06  8.778881e+02
3.057360e-06  8.757373e+02
3.486070e-06  8.742654e+02
3.974895e-06  8.689020e+02
4.532265e-06  8.621204e+02
5.167795e-06  8.540523e+02
5.892440e-06  8.421891e+02
6.718695e-06  8.293717e+02
7.660810e-06  8.141229e+02
8.735025e-06  7.979970e+02
9.959860e-06  7.795906e+02
1.135645e-05  7.590165e+02
1.294890e-05  7.370652e+02
1.476465e-05  7.117347e+02
1.683500e-05  6.841604e+02
1.919565e-05  6.543954e+02
2.188730e-05  6.230885e+02
2.495640e-05  5.901099e+02
2.845585e-05  5.559192e+02
3.244600e-05  5.211168e+02
3.699565e-05  4.854718e+02
4.218330e-05  4.502212e+02
4.809840e-05  4.150285e+02
5.484285e-05  3.805250e+02
6.253305e-05  3.467176e+02
7.130160e-05  3.139810e+02
8.129970e-05  2.826358e+02
9.269980e-05  2.528181e+02
1.056987e-04  2.248321e+02
1.205200e-04  1.989468e+02
1.374195e-04  1.752035e+02
1.566890e-04  1.537250e+02
1.786600e-04  1.344067e+02
2.037120e-04  1.171672e+02
2.322775e-04  1.018516e+02
2.648480e-04  8.834386e+01
3.019855e-04  7.646891e+01
3.443305e-04  6.605546e+01
3.926135e-04  5.693309e+01
4.476670e-04  4.898266e+01
5.104400e-04  4.205806e+01
5.820155e-04  3.605219e+01
6.636275e-04  3.087614e+01
7.566830e-04  2.642656e+01
8.627870e-04  2.261467e+01
9.837675e-04  1.935933e+01
1.121715e-03  1.657963e+01
1.279005e-03  1.421083e+01
1.458350e-03  1.218876e+01
1.662845e-03  1.046390e+01
1.896015e-03  8.990277e+00
2.161880e-03  7.729096e+00
2.465025e-03  6.651949e+00
2.810680e-03  5.726618e+00
3.204800e-03  4.934414e+00
3.654185e-03  4.254226e+00
4.166585e-03  3.668828e+00
4.750835e-03  3.166566e+00
5.417010e-03  2.733756e+00
6.176595e-03  2.361854e+00
7.042695e-03  2.041233e+00
8.030240e-03  1.765059e+00
9.156260e-03  1.527386e+00
1.044018e-02  1.321907e+00
1.190415e-02  1.144909e+00
1.357340e-02  9.920104e-01
1.547665e-02  8.603031e-01
1.764680e-02  7.463553e-01
2.012130e-02  6.480430e-01
2.294280e-02  5.629509e-01
2.615990e-02  4.894666e-01
2.982810e-02  4.259133e-01
3.401070e-02  3.708935e-01
3.877975e-02  3.232671e-01
4.421755e-02  2.821334e-01
5.041785e-02  2.464580e-01
5.748755e-02  2.155881e-01
6.554865e-02  1.888353e-01
7.474010e-02  1.656580e-01
8.522035e-02  1.456050e-01
9.717040e-02  1.282542e-01
1.107960e-01  1.132249e-01
1.263320e-01  1.002378e-01
1.440465e-01  8.902167e-02
1.642450e-01  7.936491e-02
1.872760e-01  7.105193e-02
2.135360e-01  6.394223e-02
2.434785e-01  5.790199e-02
2.776200e-01  5.282951e-02
3.165485e-01  4.868021e-02
3.609360e-01  4.537893e-02
4.115475e-01  4.294026e-02
4.692555e-01  4.144596e-02
5.307445e-01  4.685670e-02
5.884530e-01  5.484332e-02
6.390645e-01  5.813762e-02
6.834515e-01  6.306641e-02
7.223800e-01  6.960896e-02
7.565215e-01  7.782400e-02
7.864640e-01  8.791405e-02
8.127240e-01  1.001471e-01
8.357550e-01  1.148742e-01
8.559535e-01  1.324344e-01
8.736680e-01  1.533895e-01
8.892040e-01  1.782306e-01
9.028295e-01  2.076300e-01
9.147795e-01  2.425051e-01
9.252600e-01  2.835219e-01
9.344515e-01  3.320656e-01
9.425125e-01  3.890159e-01
9.495820e-01  4.558837e-01
9.557825e-01  5.344049e-01
9.612205e-01  6.261463e-01
9.659895e-01  7.333776e-01
9.701720e-01  8.583139e-01
9.738400e-01  1.003942e+00
9.770570e-01  1.173074e+00
9.798785e-01  1.369224e+00
9.823530e-01  1.595949e+00
9.845230e-01  1.857780e+00
9.864265e-01  2.159433e+00
9.880960e-01  2.506280e+00
9.895600e-01  2.903568e+00
9.908440e-01  3.357825e+00
9.919700e-01  3.877257e+00
9.929575e-01  4.469114e+00
9.938235e-01  5.141057e+00
9.945830e-01  5.902406e+00
9.952490e-01  6.763952e+00
9.958330e-01  7.734767e+00
9.963455e-01  8.830041e+00
9.967950e-01  1.005437e+01
9.971895e-01  1.143170e+01
9.975350e-01  1.295974e+01
9.978380e-01  1.466521e+01
9.981040e-01  1.656384e+01
9.983370e-01  1.865289e+01
9.985415e-01  2.096617e+01
9.987210e-01  2.351534e+01
9.988785e-01  2.629269e+01
9.990165e-01  2.934499e+01
9.991375e-01  3.266954e+01
9.992435e-01  3.621857e+01
9.993365e-01  4.014081e+01
9.994180e-01  4.439090e+01
9.994895e-01  4.875353e+01
9.995525e-01  5.355503e+01
9.996075e-01  5.873297e+01
9.996555e-01  6.396041e+01
9.996980e-01  6.953002e+01
9.997355e-01  7.554464e+01
9.997680e-01  8.168718e+01
9.997965e-01  8.777093e+01
9.998215e-01  9.446690e+01
9.998435e-01  1.006727e+02
9.998630e-01  1.081833e+02
9.998795e-01  1.144605e+02
9.998940e-01  1.218404e+02
9.999070e-01  1.270375e+02
9.999185e-01  1.361180e+02
9.999285e-01  1.398260e+02
9.999375e-01  1.485252e+02
9.999455e-01  1.538768e+02
9.999520e-01  1.603619e+02
9.999580e-01  1.665234e+02
9.999630e-01  1.719726e+02
9.999675e-01  1.725228e+02
9.999715e-01  1.844063e+02
9.999750e-01  1.824076e+02
9.999785e-01  1.960090e+02
9.999810e-01  1.827292e+02
9.999830e-01  2.039145e+02
9.999850e-01  2.032516e+02
9.999870e-01  1.987757e+02
9.999885e-01  2.044013e+02
9.999900e-01  2.102045e+02
9.999915e-01  2.176035e+02
9.999925e-01  2.039639e+02
9.999935e-01  2.079307e+02
9.999945e-01  2.120366e+02
9.999950e-01  2.164628e+02
9.999955e-01  2.224706e+02
9.999960e-01  2.301117e+02
9.999965e-01  2.401491e+02
9.999970e-01  1.931879e+02
9.999970e-01  1.934558e+02
9.999975e-01  2.583973e+02
9.999980e-01  1.947967e+02
9.999980e-01  2.927915e+02
9.999985e-01  1.954605e+02
9.999990e-01  1.956663e+02
