# z  EEC
1.220165e-06  2.860036e+01
1.391260e-06  2.853558e+01
1.586345e-06  2.861842e+01
1.808790e-06  2.836690e+01
2.062425e-06  2.861303e+01
2.351620e-06  2.851048e+01
2.681370e-06  2.849494e+01
3.057360e-06  2.847880e+01
3.486070e-06  2.853153e+01
3.974895e-06  2.843194e+01
4.532265e-06  2.853780e+01
5.167795e-06  2.841798e+01
5.892440e-06  2.841288e+01
6.718695e-06  2.848952e+01
7.660810e-06  2.853960e+01
8.735025e-06  2.846234e+01
9.959860e-06  2.850854e+01
1.135645e-05  2.856755e+01
1.294890e-05  2.851030e+01
1.476465e-05  2.847166e+01
1.683500e-05  2.845408e+01
1.919565e-05  2.846546e+01
2.188730e-05  2.849618e+01
2.495640e-05  2.849416e+01
2.845585e-05  2.849699e+01
3.244600e-05  2.849678e+01
3.699565e-05  2.854725e+01
4.218330e-05  2.861144e+01
4.809840e-05  2.858805e+01
5.484285e-05  2.853906e+01
6.253305e-05  2.844481e+01
7.130160e-05  2.828540e+01
8.129970e-05  2.812243e+01
9.269980e-05  2.793769e+01
1.056987e-04  2.783826e+01
1.205200e-04  2.786349e+01
1.374195e-04  2.789738e+01
1.566890e-04  2.783695e+01
1.786600e-04  2.769123e+01
2.037120e-04  2.741980e+01
2.322775e-04  2.705810e+01
2.648480e-04  2.663256e+01
3.019855e-04  2.612672e+01
3.443305e-04  2.555588e+01
3.926135e-04  2.494851e+01
4.476670e-04  2.426316e+01
5.104400e-04  2.350326e+01
5.820155e-04  2.267583e+01
6.636275e-04  2.178164e+01
7.566830e-04  2.079858e+01
8.627870e-04  1.976759e+01
9.837675e-04  1.869922e+01
1.121715e-03  1.758516e+01
1.279005e-03  1.645755e+01
1.458350e-03  1.531292e+01
1.662845e-03  1.417685e+01
1.896015e-03  1.305332e+01
2.161880e-03  1.195659e+01
2.465025e-03  1.088675e+01
2.810680e-03  9.859466e+00
3.204800e-03  8.877126e+00
3.654185e-03  7.944289e+00
4.166585e-03  7.075533e+00
4.750835e-03  6.267077e+00
5.417010e-03  5.528364e+00
6.176595e-03  4.857973e+00
7.042695e-03  4.253503e+00
8.030240e-03  3.712507e+00
9.156260e-03  3.231743e+00
1.044018e-02  2.804575e+00
1.190415e-02  2.428097e+00
1.357340e-02  2.095683e+00
1.547665e-02  1.803671e+00
1.764680e-02  1.547894e+00
2.012130e-02  1.324740e+00
2.294280e-02  1.131208e+00
2.615990e-02  9.645517e-01
2.982810e-02  8.220453e-01
3.401070e-02  7.009813e-01
3.877975e-02  5.984864e-01
4.421755e-02  5.118861e-01
5.041785e-02  4.389268e-01
5.748755e-02  3.772714e-01
6.554865e-02  3.252263e-01
7.474010e-02  2.811099e-01
8.522035e-02  2.436615e-01
