# z  EEC
1.220165e-06  1.393434e+01
1.391260e-06  1.394377e+01
1.586345e-06  1.385712e+01
1.808790e-06  1.385786e+01
2.062425e-06  1.389601e+01
2.351620e-06  1.395346e+01
2.681370e-06  1.381987e+01
3.057360e-06  1.389433e+01
3.486070e-06  1.384949e+01
3.974895e-06  1.387285e+01
4.532265e-06  1.387513e+01
5.167795e-06  1.385462e+01
5.892440e-06  1.388118e+01
6.718695e-06  1.386455e+01
7.660810e-06  1.386984e+01
8.735025e-06  1.383591e+01
9.959860e-06  1.388372e+01
1.135645e-05  1.390399e+01
1.294890e-05  1.384272e+01
1.476465e-05  1.385120e+01
1.683500e-05  1.386170e+01
1.919565e-05  1.385797e+01
2.188730e-05  1.384994e+01
2.495640e-05  1.384475e+01
2.845585e-05  1.384359e+01
3.244600e-05  1.385275e+01
3.699565e-05  1.384548e+01
4.218330e-05  1.382878e+01
4.809840e-05  1.383485e+01
5.484285e-05  1.380798e+01
6.253305e-05  1.382485e+01
7.130160e-05  1.381582e+01
8.129970e-05  1.381930e+01
9.269980e-05  1.381342e+01
1.056987e-04  1.381659e+01
1.205200e-04  1.379377e+01
1.374195e-04  1.375437e+01
1.566890e-04  1.369521e+01
1.786600e-04  1.364181e+01
2.037120e-04  1.356114e+01
2.322775e-04  1.348761e+01
2.648480e-04  1.343746e+01
3.019855e-04  1.341685e+01
3.443305e-04  1.335599e+01
3.926135e-04  1.326757e+01
4.476670e-04  1.314896e+01
5.104400e-04  1.299074e+01
5.820155e-04  1.279460e+01
6.636275e-04  1.257541e+01
7.566830e-04  1.232740e+01
8.627870e-04  1.206611e+01
9.837675e-04  1.177152e+01
1.121715e-03  1.144121e+01
1.279005e-03  1.107325e+01
1.458350e-03  1.066907e+01
1.662845e-03  1.022297e+01
1.896015e-03  9.748432e+00
2.161880e-03  9.245302e+00
2.465025e-03  8.718522e+00
2.810680e-03  8.178151e+00
3.204800e-03  7.627709e+00
3.654185e-03  7.073674e+00
4.166585e-03  6.522336e+00
4.750835e-03  5.979333e+00
5.417010e-03  5.449967e+00
6.176595e-03  4.933445e+00
7.042695e-03  4.435663e+00
8.030240e-03  3.960497e+00
9.156260e-03  3.512098e+00
1.044018e-02  3.096691e+00
1.190415e-02  2.716143e+00
1.357340e-02  2.372218e+00
1.547665e-02  2.064241e+00
1.764680e-02  1.791323e+00
2.012130e-02  1.550688e+00
2.294280e-02  1.339984e+00
2.615990e-02  1.156031e+00
2.982810e-02  9.959905e-01
3.401070e-02  8.570018e-01
3.877975e-02  7.364016e-01
4.421755e-02  6.321270e-01
5.041785e-02  5.422246e-01
5.748755e-02  4.649511e-01
6.554865e-02  3.989366e-01
7.474010e-02  3.427521e-01
8.522035e-02  2.950902e-01
9.717040e-02  2.547499e-01
1.107960e-01  2.206269e-01
1.263320e-01  1.917710e-01
1.440465e-01  1.673959e-01
1.642450e-01  1.467918e-01
1.872760e-01  1.293905e-01
2.135360e-01  1.147297e-01
2.434785e-01  1.024642e-01
2.776200e-01  9.226320e-02
3.165485e-01  8.392079e-02
3.609360e-01  7.729097e-02
4.115475e-01  7.232098e-02
4.692555e-01  6.907587e-02
5.307445e-01  7.735522e-02
5.884530e-01  8.980730e-02
6.390645e-01  9.467393e-02
6.834515e-01  1.023034e-01
7.223800e-01  1.126045e-01
7.565215e-01  1.257120e-01
7.864640e-01  1.418970e-01
8.127240e-01  1.615879e-01
8.357550e-01  1.852695e-01
8.559535e-01  2.135706e-01
8.736680e-01  2.472795e-01
8.892040e-01  2.872894e-01
9.028295e-01  3.346242e-01
9.147795e-01  3.904589e-01
9.252600e-01  4.561632e-01
9.344515e-01  5.332749e-01
9.425125e-01  6.234400e-01
9.495820e-01  7.285666e-01
9.557825e-01  8.506864e-01
9.612205e-01  9.919981e-01
9.659895e-01  1.154851e+00
9.701720e-01  1.341321e+00
9.738400e-01  1.554172e+00
9.770570e-01  1.795651e+00
9.798785e-01  2.067751e+00
9.823530e-01  2.373341e+00
9.845230e-01  2.713967e+00
9.864265e-01  3.091577e+00
9.880960e-01  3.506634e+00
9.895600e-01  3.960954e+00
9.908440e-01  4.454100e+00
9.919700e-01  4.985678e+00
9.929575e-01  5.556688e+00
9.938235e-01  6.160456e+00
9.945830e-01  6.798183e+00
9.952490e-01  7.466639e+00
9.958330e-01  8.158184e+00
9.963455e-01  8.874042e+00
9.967950e-01  9.597750e+00
9.971895e-01  1.033934e+01
9.975350e-01  1.107650e+01
9.978380e-01  1.181599e+01
