# z  EEC
9.981040e-01  1.254590e+01
9.983370e-01  1.325446e+01
9.985415e-01  1.395350e+01
9.987210e-01  1.462741e+01
9.988785e-01  1.527137e+01
9.990165e-01  1.589059e+01
9.991375e-01  1.647101e+01
9.992435e-01  1.699643e+01
9.993365e-01  1.751998e+01
9.994180e-01  1.802163e+01
9.994895e-01  1.840269e+01
9.995525e-01  1.882101e+01
9.996075e-01  1.922295e+01
9.996555e-01  1.950985e+01
9.996980e-01  1.980899e+01
9.997355e-01  2.011620e+01
9.997680e-01  2.038453e+01
9.997965e-01  2.053876e+01
9.998215e-01  2.078087e+01
9.998435e-01  2.089055e+01
9.998630e-01  2.118712e+01
9.998795e-01  2.123148e+01
9.998940e-01  2.146467e+01
9.999070e-01  2.130770e+01
9.999185e-01  2.177730e+01
9.999285e-01  2.143830e+01
9.999375e-01  2.184464e+01
9.999455e-01  2.178894e+01
9.999520e-01  2.193825e+01
9.999580e-01  2.202351e+01
9.999630e-01  2.210039e+01
9.999675e-01  2.154083e+01
9.999715e-01  2.246544e+01
9.999750e-01  2.171351e+01
9.999785e-01  2.284225e+01
9.999810e-01  2.090849e+01
9.999830e-01  2.296533e+01
9.999850e-01  2.254011e+01
9.999870e-01  2.175939e+01
9.999885e-01  2.211373e+01
9.999900e-01  2.246802e+01
9.999915e-01  2.302389e+01
9.999925e-01  2.144706e+01
9.999935e-01  2.172651e+01
9.999945e-01  2.194881e+01
9.999950e-01  2.227228e+01
9.999955e-01  2.282088e+01
9.999960e-01  2.353981e+01
9.999965e-01  2.450643e+01
9.999970e-01  1.955317e+01
9.999970e-01  1.955894e+01
9.999975e-01  2.618381e+01
9.999980e-01  1.952247e+01
9.999980e-01  2.936558e+01
9.999985e-01  1.947849e+01
9.999990e-01  1.948862e+01
