z,EEC,sys_err,stat_err
9.3073229e-06,14.3360371,1.9635661,0.2828093
1.0612421e-05,13.9186165,1.830893,0.2807494
1.2100524e-05,15.330889,1.5865485,0.2813596
1.3797293e-05,14.1703192,1.4063232,0.2569144
1.5731987e-05,14.0809569,1.2988255,0.2254113
1.793797e-05,14.7150912,1.3389333,0.2391774
2.0453281e-05,13.6284869,1.5409278,0.1811839
2.3321297e-05,15.2571413,1.6697348,0.2022269
2.6591473e-05,13.8128593,1.5271662,0.1557275
3.0320202e-05,14.376272,1.5321033,0.1673242
3.4571784e-05,14.7946153,1.5597732,0.1800207
3.9419535e-05,14.2931272,1.5335366,0.1578914
4.4947051e-05,14.9669165,1.7374166,0.1688752
5.124965e-05,14.5883119,1.822387,0.152519
5.8436016e-05,13.856179,1.5932657,0.1303491
6.6630075e-05,14.1887843,1.4019209,0.132477
7.5973127e-05,13.8297963,1.3350316,0.1196605
8.6626288e-05,13.3127735,1.4787944,0.109425
9.8773264e-05,13.7988577,1.605298,0.1155346
0.00011262352,14.0866875,1.4165411,0.1168478
0.0001284159,13.9870408,1.3520988,0.1061772
0.00014642273,13.475559,1.3474885,0.099144
0.00016695453,13.4285417,1.4723015,0.0920386
0.00019036536,13.4849684,1.4331986,0.0893517
0.00021705891,13.1834859,1.4576896,0.082948
0.00024749551,12.8202663,1.4722273,0.0753645
0.00028220001,12.628294,1.4170366,0.0694422
0.00032177087,12.221334,1.2921357,0.0640436
0.00036689046,11.6862968,1.1206422,0.0580902
0.00041833685,11.4110508,1.1832456,0.0536308
0.0004769972,10.9823441,1.2461156,0.0485276
0.00054388305,10.6428361,1.1320914,0.0442484
0.00062014783,10.073476,1.0588536,0.0391477
0.00070710666,9.6437793,1.0336921,0.0352629
0.0008062591,9.1374513,0.9720008,0.0317946
0.00091931497,8.5923424,0.8313805,0.0285334
0.0010482238,8.1328838,0.6192263,0.0253483
0.0011952087,7.5678534,0.7689263,0.0225761
0.0013628041,6.9897804,0.6761672,0.0197625
0.0015539003,6.4496259,0.5505745,0.0173646
0.0017717924,5.9246087,0.4835228,0.0152015
0.002020238,5.385921,0.4471362,0.0132225
0.0023035214,4.8844923,0.4383306,0.0115118
0.0026265275,4.404355,0.3067365,0.0099436
0.0029948264,3.9102189,0.2872021,0.0084367
0.0034147691,3.477487,0.1692279,0.0072581
