Q,qT,gamma_q,gamma_g
5.0,0.010000000000000004,0.03790401766972673,0.039285289084948154
5.0,0.011677986237376524,0.03790392810782177,0.039285213179426695
5.0,0.013637536256035546,0.03790380596806279,0.0392851096634646
5.0,0.015925896070970655,0.03790363940066481,0.03928496849406629
5.0,0.01859823951346841,0.037903412245894275,0.039284775975406167
5.0,0.021718998507771627,0.03790310246669949,0.03928451343039572
5.0,0.02536341656633582,0.037902680011540305,0.03928415538928441
5.0,0.029619362959451747,0.037902103900437495,0.03928366711983273
5.0,0.03458945130003375,0.03790131825222195,0.03928300125996148
5.0,0.04039351362401995,0.037900246868837195,0.03928209322715921
5.0,0.047171489618058594,0.03789878585367157,0.03928085496110278
5.0,0.05508680065562378,0.03789679355223605,0.039279166395818715
5.0,0.06433028999174784,0.037894076847584265,0.03927686384038182
5.0,0.0751248241170072,0.03789037249639948,0.03927372415269711
5.0,0.08773066621237417,0.03788532172388212,0.03926944319295042
5.0,0.10245175126239793,0.037878435666364924,0.03926360650726214
5.0,0.11964301412374055,0.03786904840870647,0.03925564947341062
5.0,0.13971894723352868,0.03785625324541298,0.03924480318331407
5.0,0.16316359428938845,0.037838816325096315,0.03923002107397326
5.0,0.19054222085523645,0.03781505993636498,0.039209879674351196
5.0,0.22251494327866095,0.03778270528816249,0.03918244473719182
5.0,0.25985264452188195,0.03773866170203251,0.03914509142659706
5.0,0.30345556064724316,0.03767874575730038,0.03909426416938147
5.0,0.35437498608938817,0.03759731045717962,0.039025158470442675
5.0,0.413838621042237,0.037486761767551106,0.038931304036927225
5.0,0.4832801721026123,0.0373369397239193,0.03880402726833751
5.0,0.5643739198611265,0.037134347178730785,0.038631774148403734
5.0,0.6590750868872474,0.03686122737908594,0.038399286560077545
5.0,0.7696669794067008,0.03649453218864351,0.03808665404410999
5.0,0.8988160392874609,0.036004901199125104,0.03766832132323526
5.0,1.0496361336732252,0.03535590737191007,0.037112235750851465
5.0,1.2257636323289023,0.03450403266947696,0.036379483691443996
5.0,1.4314450828613574,0.033400107781747894,0.03542499074273312
5.0,1.6716395977215224,0.031993205434860957,0.03420010061509014
5.0,1.9521384216045559,0.03023800881544406,0.03265795860544423
5.0,2.2797045620951946,0.028106115893824717,0.03076233314409668
5.0,2.662235850143215,0.025600182977411498,0.028499470098743162
5.0,3.108955361862284,0.02276726270730772,0.025890668965611114
5.0,3.6306337928445687,0.019705234822691806,0.023001099355926456
5.0,4.239849146579303,0.016556141850231017,0.019939506280895265
5.0,4.951289998230568,0.01348447819859106,0.016845591310940725
5.0,5.782109645659658,0.010645939528286411,0.013866979063495509
5.0,6.752339686501551,0.008157983878670559,0.011133003386346842
5.0,7.88537299290564,0.006083032156815535,0.008734357155374082
5.0,9.208527728773264,0.004428431585663624,0.0067146210691063045
5.0,10.753706008311424,0.0031594441374196,0.005074041955175565
5.0,12.558163076585398,0.0022174638629386197,0.0037812997736264217
5.0,14.665405557509425,0.0015364972214858244,0.0027875495115552472
5.0,17.126240426614018,0.0010543808617336223,0.002038413779388807
5.0,19.999999999999996,0.0007184630111633682,0.0014820552467722343
50.0,0.010000000000000004,0.028884083443249983,0.021800259607504927
50.0,0.011677986237376524,0.0288840161783871,0.02180021606149598
50.0,0.013637536256035546,0.028883924446144287,0.02180015667574222
50.0,0.015925896070970655,0.028883799346817007,0.021800075688714476
50.0,0.01859823951346841,0.028883628743739363,0.021799965243308895
50.0,0.021718998507771627,0.02888339608611867,0.021799814624748066
50.0,0.02536341656633582,0.028883078803921956,0.021799609221415592
50.0,0.029619362959451747,0.02888264611936186,0.02179932910796873
50.0,0.03458945130003375,0.0288820560631677,0.02179894711357052
50.0,0.04039351362401995,0.02888125140712302,0.021798426188396662
50.0,0.047171489618058594,0.02888015412004026,0.021797715813988913
50.0,0.05508680065562378,0.028878657812637536,0.02179674711118804
50.0,0.06433028999174784,0.028876617444551,0.021795426174744257
50.0,0.0751248241170072,0.02887383530645371,0.021793624994863724
50.0,0.08773066621237417,0.028870041938833378,0.021791169097799018
50.0,0.10245175126239793,0.028864870176258117,0.02178782073035299
50.0,0.11964301412374055,0.02885781987337359,0.021783256001406272
50.0,0.13971894723352868,0.028848210028576474,0.021777033845442908
50.0,0.16316359428938845,0.028835113916740977,0.021768553950310715
50.0,0.19054222085523645,0.028817271412358174,0.021756999851544084
50.0,0.22251494327866095,0.02879297087463092,0.021741262197898643
50.0,0.25985264452188195,0.028759890754938785,0.021719835713554052
50.0,0.30345556064724316,0.02871488853949819,0.021690681646062263
50.0,0.35437498608938817,0.028653722010489567,0.02165104562899696
50.0,0.413838621042237,0.028570685730889195,0.021597219260016055
50.0,0.4832801721026123,0.028458145473702567,0.021524233075277243
50.0,0.5643739198611265,0.028305957613490997,0.021425470516070654
50.0,0.6590750868872474,0.02810077390936241,0.02129219970638198
50.0,0.7696669794067008,0.027825262302935375,0.02111303705555493
50.0,0.8988160392874609,0.02745733278504131,0.0208733909882372
50.0,1.0496361336732252,0.026969558437701078,0.02055499479714854
50.0,1.2257636323289023,0.02632913718288638,0.020135733347093898
50.0,1.4314450828613574,0.02549894283378863,0.019590098313807557
50.0,1.6716395977215224,0.024440407212415124,0.018890741856356506
50.0,1.9521384216045559,0.023119004048779323,0.0180116537271047
50.0,2.2797045620951946,0.021512694861976614,0.0169333002257439
50.0,2.662235850143215,0.019622543664823126,0.015649438514452628
50.0,3.108955361862284,0.017482808362854495,0.014174200467855037
50.0,3.6306337928445687,0.015165966343558202,0.012546804023400701
50.0,4.239849146579303,0.012778020684333025,0.010830832981653743
50.0,4.951289998230568,0.010442530622382365,0.009106402537119753
50.0,5.782109645659658,0.008277341774929073,0.007456589872105778
50.0,6.752339686501551,0.006372402762422268,0.005952525735277012
50.0,7.88537299290564,0.00477679251557152,0.0046423490440307405
50.0,9.208527728773264,0.0034982018793680634,0.003547215970952592
50.0,10.753706008311424,0.002512267959812096,0.0026642117891952886
50.0,12.558163076585398,0.0017760425040970237,0.001973479531729338
50.0,14.665405557509425,0.0012403736732400949,0.00144626797553619
50.0,17.126240426614018,0.0008584756434717886,0.0010515557805196205
50.0,19.999999999999996,0.0005903850457205439,0.0007603472029603257
