Q,qT,gamma_q,gamma_g
5.0,0.010000000000000004,0.043577919747054626,0.055794935242562384
5.0,0.01079801029825812,0.04357786808379219,0.055794871234449775
5.0,0.011659702640128828,0.04357780784609689,0.055794796603052595
5.0,0.012590158918273841,0.04357773761091546,0.0557947095852786
5.0,0.013594866565622707,0.04357765571902726,0.05579460812543519
5.0,0.014679750917903894,0.04357756023585357,0.05579448982667375
5.0,0.015851210158739013,0.0435774489057648,0.05579435189437807
5.0,0.01711615305339175,0.04357731909880692,0.055794191070160294
5.0,0.018482039693708607,0.04357716774859021,0.055794003554907115
5.0,0.019956925494548073,0.04357699127987488,0.05579378491906075
5.0,0.021549508701169992,0.04357678552414579,0.055793529998018045
5.0,0.023269181687763634,0.04357654562118508,0.05579323277018137
5.0,0.025126086349651078,0.043576265904322946,0.05579288621478641
5.0,0.0271311739158455,0.04357593976666245,0.05579248214615624
5.0,0.029296269534713145,0.0435755595051272,0.055792011020477345
5.0,0.0316341420136378,0.043575116138660976,0.05579146171054849
5.0,0.03415857912398204,0.043574599196301314,0.05579082124320158
5.0,0.03688446891546228,0.04357399647014449,0.05579007449321993
5.0,0.039827887519494266,0.04357329372739823,0.05578920382656172
5.0,0.0430061939593365,0.04357247437476339,0.05578818868451262
5.0,0.046438132526180106,0.04357151906727558,0.05578700509901536
5.0,0.050143943324956794,0.043570405252447736,0.05578562512782351
5.0,0.05414548164181543,0.0435691066390542,0.05578401619626825
5.0,0.05846634683724687,0.04356759257815767,0.05578214033026778
5.0,0.06313202152501222,0.04356582734196025,0.055779953262705025
5.0,0.06817002185769348,0.04356376928372016,0.05577740339239562
5.0,0.07361005980518547,0.043561369859264995,0.05577443057150507
5.0,0.07948421838317882,0.043558572487499045,0.05577096469338436
5.0,0.08582714086505615,0.04355531122368232,0.05576692404829848
5.0,0.09267623509309258,0.04355150921508531,0.0557622134093391
5.0,0.10007189409390034,0.043547076903823013,0.05575672180484605
5.0,0.1080577342992131,0.04354190993615852,0.055750319926807644
5.0,0.11668085277693417,0.04353588673125824,0.05574285711686121
5.0,0.12599210498948737,0.043528865655182915,0.05573415786255413
5.0,0.13604640471757018,0.04352068173772396,0.0557240177263336
5.0,0.14690304791813136,0.04351114286045193,0.05571219861820534
5.0,0.15862606242654873,0.04350002533396529,0.05569842331002814
5.0,0.1712845855654007,0.0434870687707556,0.05568236907492801
5.0,0.18495327188680694,0.04347197014733405,0.05566366031929087
5.0,0.19971273345302737,0.04345437693534005,0.05564186005727261
5.0,0.21565001525190666,0.04343387916642017,0.055616460058902424
5.0,0.23285910855096068,0.04341000028000484,0.05558686948296742
5.0,0.2514415052176477,0.04338218658719214,0.0555524017854982
5.0,0.271506796274968,0.04334979516852213,0.055512259674699624
5.0,0.29317331822241716,0.043312080009612036,0.05546551786491312
5.0,0.31656885093401627,0.04326817616806011,0.05541110336759945
5.0,0.34183137124932444,0.043217081760039855,0.05534777304916567
5.0,0.3691098667017897,0.04315763755883567,0.055274088187610995
5.0,0.3985652141834605,0.04308850401464301,0.05518838577775905
5.0,0.43037112872804567,0.0430081355412329,0.05508874637547705
5.0,0.46471518800784045,0.04291475197843055,0.054972958344308404
5.0,0.5017999385865615,0.042806307240013046,0.054838478485834216
5.0,0.5418440904522979,0.04268045530760578,0.05468238921378802
5.0,0.5850838068754209,0.04253451394862119,0.05450135269144232
5.0,0.6317740971984858,0.04236542683975548,0.05429156271638157
5.0,0.6821903207721968,0.04216972518966656,0.054048695635008054
5.0,0.7366298109070187,0.041943490500035686,0.05376786223290116
5.0,0.795413628417791,0.04168232080820274,0.05344356340947996
5.0,0.8588884551030161,0.041381303638123174,0.0530696535361588
5.0,0.9274286383257363,0.041034999960430786,0.05263931673564916
5.0,1.0014383987540803,0.0406374447175865,0.052145062903450355
5.0,1.0813542142817667,0.0401821708625716,0.05157875207900994
5.0,1.1676473941879328,0.039662265291832866,0.05093165765943114
5.0,1.2608268587175542,0.03907046635084479,0.05019458073763089
5.0,1.3614421404752581,0.03839931347793136,0.049358029220579844
5.0,1.4700866253334408,0.03764135963179372,0.048412475869695694
5.0,1.5874010519682,0.036789455897833605,0.04734870836488343
5.0,1.7140772906618391,0.035837114467215644,0.04615828113740295
5.0,1.8508624236576892,0.03477895039247298,0.044834072184211406
5.0,1.9985631511314703,0.033611193641946265,0.043370937598172246
5.0,2.1580505487636787,0.03233225087186428,0.04176644171308882
