Q,qT,gamma_q,gamma_g
5.0,0.010000000000000004,0.04250702369845072,0.05541886111291775
5.0,0.01079801029825812,0.04250701929471199,0.05541883255397057
5.0,0.011659702640128828,0.042507013980226625,0.05541879889689847
5.0,0.012590158918273841,0.04250700756694588,0.055418759231834834
5.0,0.013594866565622707,0.04250699982804647,0.055418712486573096
5.0,0.014679750917903894,0.04250699048994533,0.05541865739761133
5.0,0.015851210158739013,0.04250697922267224,0.05541859247603472
5.0,0.01711615305339175,0.04250696562826033,0.055418515967315556
5.0,0.018482039693708607,0.04250694922674983,0.05541842580394757
5.0,0.019956925494548073,0.042506929439314556,0.05541831954963791
5.0,0.021549508701169992,0.04250690556791738,0.055418194333553106
5.0,0.023269181687763634,0.04250687677078441,0.0554180467728479
5.0,0.025126086349651078,0.04250684203283863,0.055417872881390697
5.0,0.0271311739158455,0.042506800130055866,0.055417667962228516
5.0,0.029296269534713145,0.04250674958649773,0.05541742648089785
5.0,0.0316341420136378,0.04250668862251685,0.05541714191617313
5.0,0.03415857912398204,0.04250661509232238,0.055416806584240495
5.0,0.03688446891546228,0.04250652640872235,0.05541641143157103
5.0,0.039827887519494266,0.04250641945241272,0.05541594579093108
5.0,0.0430061939593365,0.042506290462641476,0.055415397093980544
5.0,0.046438132526180106,0.042506134905428906,0.055414750532751675
5.0,0.050143943324956794,0.04250594731474283,0.05541398866093637
5.0,0.05414548164181543,0.042505721101083374,0.055413090924309356
5.0,0.05846634683724687,0.04250544832080098,0.055412033107731115
5.0,0.06313202152501222,0.04250511939810346,0.05541078668396414
5.0,0.06817002185769348,0.042504722790065744,0.055409318046941027
5.0,0.07361005980518547,0.04250424458297807,0.05540758760908009
5.0,0.07948421838317882,0.04250366800599018,0.05540554873867545
5.0,0.08582714086505615,0.04250297284514786,0.05540314650921266
5.0,0.09267623509309258,0.04250213473748067,0.055400316227573625
5.0,0.10007189409390034,0.042501124320668895,0.05539698170238582
5.0,0.1080577342992131,0.042499906208858414,0.05539305320711188
5.0,0.11668085277693417,0.042498437759243515,0.055388425084722435
5.0,0.12599210498948737,0.042496667586906164,0.055382972931785686
5.0,0.13604640471757018,0.04249453377686292,0.055376550289370365
5.0,0.14690304791813136,0.04249196173206402,0.05536898475609999
5.0,0.15862606242654873,0.042488861583903303,0.05536007342482348
5.0,0.1712845855654007,0.04248512507728552,0.05534957752848046
5.0,0.18495327188680694,0.04248062182504813,0.05533721616264954
5.0,0.19971273345302737,0.04247519480610415,0.05532265893182623
5.0,0.21565001525190666,0.0424686549575573,0.05530551734358227
5.0,0.23285910855096068,0.04246077468271537,0.055285334749423466
5.0,0.2514415052176477,0.042451280063851154,0.055261574603560404
5.0,0.271506796274968,0.04243984153022442,0.055233606781359336
5.0,0.29317331822241716,0.04242606268787629,0.055200691668748546
5.0,0.31656885093401627,0.04240946696783513,0.055161961703653555
5.0,0.34183137124932444,0.042389481693795805,0.05511640002272521
5.0,0.3691098667017897,0.042365419109838674,0.05506281584438124
5.0,0.3985652141834605,0.042336453845093,0.05499981620714091
5.0,0.43037112872804567,0.04230159622868474,0.05492577368702414
5.0,0.46471518800784045,0.04225966081033673,0.05483878974866741
5.0,0.5017999385865615,0.0422092293983802,0.054736653454475696
5.0,0.5418440904522979,0.04214860791114933,0.05461679538164433
5.0,0.5850838068754209,0.04207577636977438,0.054476236800691
5.0,0.6317740971984858,0.04198833146923902,0.05431153448007106
5.0,0.6821903207721968,0.04188342139111074,0.05411872193547212
5.0,0.7366298109070187,0.04175767292174452,0.05389324858269092
5.0,0.795413628417791,0.04160711158878758,0.05362991912882147
5.0,0.8588884551030161,0.04142707652236427,0.0533228366995855
5.0,0.9274286383257363,0.04121213320222063,0.052965354698056286
5.0,1.0014383987540803,0.040955989300360006,0.052550044251140786
5.0,1.0813542142817667,0.04065142160133184,0.052068686315807335
5.0,1.1676473941879328,0.040290225575961645,0.051512300008288596
5.0,1.2608268587175542,0.03986320360141815,0.0508712212952211
5.0,1.3614421404752581,0.0393602128741003,0.050135248490147846
5.0,1.4700866253334408,0.038770299238844126,0.04929387245687597
5.0,1.5874010519682,0.03808194744894793,0.048336609198087466
5.0,1.7140772906618391,0.03728348010175973,0.04725344951378236
5.0,1.8508624236576892,0.03636363423961959,0.046035433400241674
5.0,1.9985631511314703,0.035312333338606054,0.0446753446565275
5.0,2.1580505487636787,0.0341216500790932,0.04316850310927075
5.0,2.330265204971178,0.03278692003989353,0.041513608411581
5.0,2.516222768095132,0.0313079194587707,0.03971356277437497
5.0,2.7170199362602774,0.029689967772123974,0.03777617481120196
5.0,2.933840925231106,0.027944770545973958,0.03571462971668215
5.0,3.16796445240966,0.026090798771038853,0.033547610207376205
5.0,3.420771278163511,0.02415302496430775,0.03129897487621067
5.0,3.693752348959517,0.022161915780121295,0.028996948489377204
5.0,3.9885175903279935,0.02015170849962402,0.026672847906944026
5.0,4.306805401514532,0.018158147198462177,0.02435944536452426
5.0,4.650492907814756,0.016215980512710317,0.022089139631356936
5.0,5.021607031056006,0.01435658420981402,0.01989214639791957
5.0,5.422336443514807,0.012606045408800889,0.017794919693763737
5.0,5.855044475769317,0.010983939586415517,0.0158189750137036
5.0,6.322283054611631,0.0095028822773222,0.013980213050818207
5.0,6.826807753219917,0.008168791385223714,0.012288759515151891
5.0,7.371594042349695,0.006981691298702529,0.01074926167563635
5.0,7.9598548383870185,0.0059368435863585995,0.009361530846990491
5.0,8.595059451754263,0.0050259963730753966,0.008121397988955755
5.0,9.280954047418328,0.004238587488054391,0.0070216542223909845
5.0,10.021583738168337,0.003562793864739011,0.006052971195051051
5.0,10.821316440959777,0.0029863745608790736,0.0052047280145864575
5.0,11.684868637019342,0.0024972975818140695,0.004465703511385865
5.0,12.617333187632813,0.002084168552578935,0.0038246194650142316
5.0,13.62420936966129,0.0017364936924875887,0.003270539759174596
5.0,14.711435307922732,0.001444813963441823,0.0027931421854311906
5.0,15.88542299571077,0.0012007454010802589,0.0023828850991327553
5.0,17.153096109987104,0.0009969555550440913,0.0020310921326050003
5.0,18.521930844265196,0.000827099791325716,0.001729976408224828
5.0,19.999999999999996,0.000685735221265855,0.001472622537602722
10.0,0.010000000000000004,0.03585192012942264,0.03675286327172895
10.0,0.01079801029825812,0.03585191644829851,0.036752846624744956
10.0,0.011659702640128828,0.03585191201162407,0.036752827003854585
10.0,0.012590158918273841,0.03585190666441099,0.0367528038778489
10.0,0.013594866565622707,0.03585190021989319,0.03675277662064678
10.0,0.014679750917903894,0.03585189245301418,0.03675274449435427
10.0,0.015851210158739013,0.0358518830925809,0.03675270662929968
10.0,0.01711615305339175,0.035851871811809086,0.03675266200050477
10.0,0.018482039693708607,0.03585185821693232,0.036752609399956074
10.0,0.019956925494548073,0.03585184183347875,0.03675254740392715
10.0,0.021549508701169992,0.03585182208973598,0.03675247433446853
10.0,0.023269181687763634,0.03585179829682996,0.03675238821402558
10.0,0.025126086349651078,0.035851769624724944,0.03675228671195787
10.0,0.0271311739158455,0.035851735073307904,0.03675216708151668
10.0,0.029296269534713145,0.035851693437552706,0.036752026085578975
10.0,0.0316341420136378,0.03585164326555237,0.036751859909133794
10.0,0.03415857912398204,0.03585158280795862,0.036751664056160295
10.0,0.03688446891546228,0.03585150995707165,0.03675143322811681
10.0,0.039827887519494266,0.03585142217346243,0.03675116118076576
10.0,0.0430061939593365,0.03585131639757646,0.036750840555477775
